lsmod > 11_2.txt 2>&1


Module                  Size  Used by
intel_rapl_common      57344  2 intel_rapl_msr,processor_thermal_rapl
mc                     86016  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
spi_intel_pci          12288  0
drm_suballoc_helper    24576  1 xe
soundcore              16384  2 snd_ctl_led,snd
processor_thermal_wt_req    12288  1 processor_thermal_device
drm_display_helper    294912  1 xe
bluetooth            1040384  52 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
crc8                   12288  1 soundwire_cadence
spi_intel              36864  1 spi_intel_pci
cec                   106496  2 drm_display_helper,xe
processor_thermal_power_floor    12288  2 processor_thermal_device_pci,processor_thermal_device
cfg80211             1474560  3 iwlmld,iwlwifi,mac80211
mei_me                 53248  1
processor_thermal_mbox    12288  4 processor_thermal_power_floor,processor_thermal_wt_req,processor_thermal_rfim,processor_thermal_wt_hint
rc_core                73728  1 cec
mei                   176128  3 mei_gsc_proxy,mei_me
intel_vpu             299008  0
platform_profile       20480  2 asus_wmi,processor_thermal_soc_slider
i2c_algo_bit           16384  1 xe
intel_pmc_core        135168  0
pmt_telemetry          16384  1 intel_pmc_core
int3403_thermal        16384  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
pmt_discovery          20480  1 pmt_telemetry
pmt_class              20480  2 pmt_telemetry,pmt_discovery
intel_pmc_ssram_telemetry    16384  1 intel_pmc_core
intel_hid              32768  0
int3400_thermal        24576  0
sparse_keymap          12288  2 intel_hid,asus_wmi
acpi_thermal_rel       24576  1 int3400_thermal
intel_vsec             24576  3 intel_pmc_ssram_telemetry,pmt_telemetry,xe
acpi_pad              184320  0
acpi_tad               20480  0
joydev                 32768  0
input_leds             12288  0
hid_apple              28672  0
mac_hid                12288  0
apple_mfi_fastcharge    16384  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     32768  0
parport                73728  3 parport_pc,lp,ppdev
efi_pstore             12288  0
nfnetlink              20480  3 nft_compat,nf_tables
dmi_sysfs              24576  0
ip_tables              36864  0
x_tables               65536  8 xt_cgroup,nft_compat,xt_tcpudp,ipt_REJECT,ip_tables,xt_MASQUERADE,ip6t_REJECT,xt_mark
autofs4                57344  2
r8153_ecm              12288  0
cdc_ether              24576  1 r8153_ecm
usbnet                 61440  2 r8153_ecm,cdc_ether
r8152                 143360  1 r8153_ecm
mii                    20480  2 usbnet,r8152
hid_logitech_hidpp     65536  0
hid_sensor_hub         28672  3 hid_sensor_trigger,hid_sensor_iio_common,hid_sensor_prox
hid_logitech_dj        36864  0
usbhid                 77824  2 hid_logitech_dj,hid_logitech_hidpp
