ps -eo pid,stat,nlwp,comm --sort=-nlwp > 04.txt


    PID STAT NLWP COMMAND
    122 I<      1 kworker/u37:0-ttm
    134 I<      1 kworker/R-charger_manager
    136 I<      1 kworker/7:1H-kblockd
    160 I<      1 kworker/0:1H-i915_cleanup
    165 I<      1 kworker/3:1H-i915_cleanup
    188 I       1 kworker/2:2-cgroup_free
    189 I<      1 kworker/5:1H-kblockd
    190 I<      1 kworker/6:1H-kblockd
    192 I<      1 kworker/2:1H-i915_cleanup
    248 I       1 kworker/6:2-cgroup_free
    261 I       1 kworker/7:2-events
    265 I<      1 kworker/R-nvme-wq
    267 I<      1 kworker/R-nvme-reset-wq
    268 I<      1 kworker/R-nvme-delete-wq
    269 I<      1 kworker/R-nvme-auth-wq
    282 S       1 irq/112-ASUF1208:00
    285 I       1 kworker/5:2-mm_percpu_wq
    286 I<      1 kworker/R-USBC000:00-con1
    288 I<      1 kworker/R-USBC000:00-con2
    303 I       1 kworker/3:2-events
    334 S       1 jbd2/nvme0n1p6-8
    335 I<      1 kworker/R-ext4-rsv-conversion
    389 S<s     1 systemd-journal
    422 Ss      1 systemd-oomd
    431 Ss      1 systemd-udevd
    433 Ss      1 systemd-resolve
    460 S       1 psimon
    537 I<      1 kworker/R-cfg80211
    538 S       1 irq/172-mei_me
    545 S       1 irq/173-iwlwifi:default_queue
    546 S       1 irq/174-iwlwifi:queue_1
    547 S       1 irq/175-iwlwifi:queue_2
    548 S       1 irq/176-iwlwifi:queue_3
    549 S       1 irq/177-iwlwifi:queue_4
    550 S       1 irq/178-iwlwifi:queue_5
    551 S       1 irq/179-iwlwifi:queue_6
    552 S       1 irq/180-iwlwifi:queue_7
    553 S       1 irq/181-iwlwifi:queue_8
    554 S       1 irq/182-iwlwifi:exception
    562 S       1 scsi_eh_0
    563 I<      1 kworker/R-scsi_tmf_0
    586 S       1 usb-storage
    615 I<      1 kworker/u35:1-hci0
    622 I<      1 kworker/R-led_workqueue
    675 I<      1 kworker/R-uas
    728 S       1 irq/183-processor_thermal_device_pci
    731 S       1 irq/184-processor_thermal_device_pci
    732 S       1 irq/185-processor_thermal_device_pci
    733 S       1 irq/186-processor_thermal_device_pci
    767 I<      1 kworker/R-ttm
    768 I<      1 kworker/R-xe-preempt-fence-wq
    769 I<      1 kworker/R-gt-ordered-wq
    770 I<      1 kworker/R-gt-ordered-wq
    771 I<      1 kworker/R-xe-g2h-wq
    772 I<      1 kworker/R-xe-g2h-wq
    773 S       1 card0-crtc0
    774 S       1 card0-crtc1
    775 S       1 card0-crtc2
    784 S       1 jbd2/nvme0n1p9-8
    785 I<      1 kworker/R-ext4-rsv-conversion
    787 S       1 jbd2/nvme0n1p7-8
    788 I<      1 kworker/R-ext4-rsv-conversion
    802 I       1 kworker/u33:5-events_power_efficient
    839 I<      1 kworker/R-
    857 I       1 kworker/u33:12-events_unbound
    859 I       1 kworker/u33:14-events_unbound
    892 I<      1 kworker/R-
    960 I<      1 kworker/R-
    964 I<      1 kworker/R-
    969 I<      1 kworker/R-
   1017 S       1 irq/192-AudioDSP
   1156 I<      1 kworker/R-cs35l56-dsp
   1172 I<      1 kworker/u37:1-ttm
   1178 I<      1 kworker/R-cs35l56-dsp
   1201 I<      1 kworker/R-cs35l56-dsp
   1219 I<      1 kworker/R-cs35l56-dsp
   1234 S       1 spi1
   1468 I       1 kworker/u32:3
   1469 I       1 kworker/u32:4
   1549 Ss      1 avahi-daemon
   1550 Ss      1 bluetoothd
   1551 Ss      1 dbus-daemon
   1577 Ss      1 cron
   1585 Ss      1 systemd-logind
   1639 S       1 avahi-daemon
   1674 Ss      1 wpa_supplicant
   1878 S<      1 krfcommd
   1939 Ss      1 AmneziaVPN-serv
   1941 Ss      1 cupsd
   2027 S       1 psimon
   2906 I<      1 kworker/u37:2-ttm
   2908 I<      1 kworker/u37:4-ttm
   2909 I<      1 kworker/u37:5-ttm
   2910 I<      1 kworker/u37:6-ttm
   2911 I<      1 kworker/u37:7-ttm
   2912 I<      1 kworker/u37:8-ttm
   2913 I<      1 kworker/u37:9-ttm
   2914 I<      1 kworker/u37:10-ttm
   2915 I<      1 kworker/u37:11-i915_flip
   2916 I<      1 kworker/u37:12-ttm
   2917 I<      1 kworker/u37:13-ttm
   2918 I<      1 kworker/u37:14-ttm
   2919 I<      1 kworker/u37:15-ttm
   2920 I<      1 kworker/u37:16-ttm
   2924 I<      1 kworker/u36:4-ttm
   2925 I<      1 kworker/u36:5-i915_flip
   2976 Ss      1 systemd
   2978 S       1 (sd-pam)
   2999 Ss      1 dbus-daemon
