top -b -n 1 > 03.txt 2>&1


top - 00:42:47 up 15 min,  1 user,  load average: 0.18, 0.90, 1.15
Tasks: 420 total,   1 running, 415 sleeping,   0 stopped,   4 zombie
%Cpu(s):  5.6 us,  3.3 sy,  0.0 ni, 91.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :  31054.8 total,  21310.7 free,   6937.4 used,   3604.9 buff/cache     
MiB Swap:   7630.0 total,   7630.0 free,      0.0 used.  24117.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    773 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    774 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    775 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    784 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/nv+
    785 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    787 root      20   0       0      0      0 S   0.0   0.0   0:00.14 jbd2/nv+
    788 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    802 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker+
    839 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    852 root      20   0       0      0      0 I   0.0   0.0   0:00.25 kworker+
    857 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker+
    859 root      20   0       0      0      0 I   0.0   0.0   0:00.15 kworker+
    863 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    892 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    960 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    964 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    969 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1017 root     -51   0       0      0      0 S   0.0   0.0   0:00.36 irq/192+
   1156 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1172 root       0 -20       0      0      0 I   0.0   0.0   0:00.37 kworker+
   1178 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1201 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1234 root      20   0       0      0      0 S   0.0   0.0   0:00.00 spi1
   1468 root      20   0       0      0      0 I   0.0   0.0   0:01.15 kworker+
   1469 root      20   0       0      0      0 I   0.0   0.0   0:01.36 kworker+
   1549 avahi     20   0    6784   4380   3968 S   0.0   0.0   0:00.07 avahi-d+
   1550 root      20   0   13344   7332   6452 S   0.0   0.0   0:00.31 bluetoo+
   1551 message+  20   0   12096   8640   4372 S   0.0   0.0   0:01.02 dbus-da+
